Date	URL
2012-03-03	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120303/20120303_TheEconomist_Full_Edition.m4a
2012-03-10	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120310/20120310_TheEconomist_Full_Edition.m4a
2012-03-17	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120317/20120317_TheEconomist_Full_Edition.m4a
2012-03-24	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120324/20120324_TheEconomist_Full_Edition.m4a
2012-03-31	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120331/20120331_TheEconomist_Full_Edition.m4a
2012-04-07	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120407/20120407_TheEconomist_Full_Edition.m4a
2012-04-14	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120414/20120414_TheEconomist_Full_Edition.m4a
2012-04-21	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120421/20120421_TheEconomist_Full_Edition.m4a
2012-04-28	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120428/20120428_TheEconomist_Full_Edition.m4a
2012-05-05	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120505/20120505_TheEconomist_Full_Edition.m4a
2012-05-12	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120512/20120512_TheEconomist_Full_Edition.m4a
2012-05-19	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120519/20120519_TheEconomist_Full_Edition.m4a
2012-05-26	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120526/20120526_TheEconomist_Full_Edition.m4a
2012-06-02	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120602/20120602_TheEconomist_Full_Edition.m4a
2012-06-09	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120609/20120609_TheEconomist_Full_Edition.m4a
2012-06-16	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120616/20120616_TheEconomist_Full_Edition.m4a
2012-06-23	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120623/20120623_TheEconomist_Full_Edition.m4a
2012-06-30	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120630/20120630_TheEconomist_Full_Edition.m4a
2012-07-07	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120707/20120707_TheEconomist_Full_Edition.m4a
2012-07-14	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120714/20120714_TheEconomist_Full_Edition.m4a
2012-07-21	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120721/20120721_TheEconomist_Full_Edition.m4a
2012-07-28	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120728/20120728_TheEconomist_Full_Edition.m4a
2012-08-04	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120804/Issue_8796_20120804_The_Economist_Full_edition.m4a
2012-08-11	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120811/Issue_8797_20120811_The_Economist_Full_edition.m4a
2012-08-18	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120818/Issue_8798_20120818_The_Economist_Full_edition.m4a
2012-08-25	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120825/Issue_8799_20120825_The_Economist_Full_edition.m4a
2012-09-01	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120901/Issue_8800_20120901_The_Economist_Full_edition.m4a
2012-09-08	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120908/Issue_8801_20120908_The_Economist_Full_edition.m4a
2012-09-15	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120915/Issue_8802_20120915_The_Economist_Full_edition.m4a
2012-09-22	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120922/Issue_8803_20120922_The_Economist_Full_edition.m4a
2012-09-29	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20120929/Issue_8804_20120929_The_Economist_Full_edition.m4a
2012-10-06	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20121006/Issue_8805_20121006_The_Economist_Full_edition.m4a
2012-10-13	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20121013/Issue_8806_20121013_The_Economist_Full_edition.m4a
2012-10-20	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20121020/Issue_8807_20121020_The_Economist_Full_edition.m4a
2012-10-27	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20121027/Issue_8808_20121027_The_Economist_Full_edition.m4a
2012-11-03	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20121103/Issue_8809_20121103_The_Economist_Full_edition.m4a
2012-11-10	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20121110/Issue_8810_20121110_The_Economist_Full_edition.m4a
2012-11-17	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20121117/Issue_8811_20121117_The_Economist_Full_edition.m4a
2012-11-24	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20121124/Issue_8812_20121124_The_Economist_Full_edition.m4a
2012-12-01	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20121201/Issue_8813_20121201_The_Economist_Full_edition.m4a
2012-12-08	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20121208/Issue_8814_20121208_The_Economist_Full_edition.m4a
2012-12-15	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20121215/Issue_8815_20121215_The_Economist_Full_edition.m4a
2012-12-22	https://audiocdn.economist.com/sites/default/files/AudioArchive/2012/20121222/Issue_8816_20121222_The_Economist_Full_edition.m4a
2013-01-05	https://audiocdn.economist.com/sites/default/files/AudioArchive/2013/20130105/Issue_8817_20130105_The_Economist_Full_edition.m4a
2013-01-12	https://audiocdn.economist.com/sites/default/files/AudioArchive/2013/20130112/Issue_8818_20130112_The_Economist_Full_edition.m4a
2013-01-19	https://audiocdn.economist.com/sites/default/files/AudioArchive/2013/20130119/Issue_8819_20130119_The_Economist_Full_edition.m4a
2013-01-26	https://audiocdn.economist.com/sites/default/files/AudioArchive/2013/20130126/Issue_8820_20130126_The_Economist_Full_edition.m4a
2013-02-02	https://audiocdn.economist.com/sites/default/files/AudioArchive/2013/20130202/Issue_8821_20130202_The_Economist_Full_edition.m4a
2013-02-09	https://audiocdn.economist.com/sites/default/files/AudioArchive/2013/20130209/Issue_8822_20130209_The_Economist_Full_edition.m4a
2013-02-16	https://audiocdn.economist.com/sites/default/files/AudioArchive/2013/20130216/Issue_8823_20130216_The_Economist_Full_edition.m4a
