date,img_url
2007-01-06,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070106issuecovUS400.jpg"
2007-01-13,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070113issuecovUS400.jpg"
2007-01-20,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070120issuecovUS400.jpg"
2007-01-27,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070127issuecovUS400.jpg"
2007-02-03,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070203issuecovUS400.jpg"
2007-02-10,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070210issuecovUS400.jpg"
2007-02-17,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070217issuecovUS400.jpg"
2007-02-24,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070224issuecovUS400.jpg"
2007-03-03,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070303issuecovUS400_0.jpg"
2007-03-10,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070310issuecovUS400.jpg"
2007-03-17,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070317issuecovUS400.jpg"
2007-03-24,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070324issuecovUS400.jpg"
2007-03-31,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070331issuecovUS400_0.jpg"
2007-04-07,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070407issuecovUS400.jpg"
2007-04-14,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070414issuecovUS400.jpg"
2007-04-21,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070421issuecovUS400.jpg"
2007-04-28,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070428issuecovUS400.jpg"
2007-05-05,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070505issuecovUS400.jpg"
2007-05-12,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070512issuecovUS400.jpg"
2007-05-19,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070519issuecovUS400_0.jpg"
2007-05-26,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070526issuecovUS400.jpg"
2007-06-02,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070602issuecovUS400.jpg"
2007-06-09,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070609issuecovUS400.jpg"
2007-06-16,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070616issuecovUS400_0.jpg"
2007-06-23,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070623issuecovUS400.jpg"
2007-06-30,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070630issuecovUS400.jpg"
2007-07-07,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070707issuecovUS400.jpg"
2007-07-14,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070714issuecovUS400.jpg"
2007-07-21,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070721issuecovUS400_0.jpg"
2007-07-28,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070728issuecovUS400.jpg"
2007-08-04,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070804issuecovUS400.jpg"
2007-08-11,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070811issuecovUS400.jpg"
2007-08-18,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070818issuecovUS400.jpg"
2007-08-25,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070825issuecovUS400.jpg"
2007-09-01,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070901issuecovUS400.jpg"
2007-09-08,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070908issuecovUS400.jpg"
2007-09-15,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070915issuecovUS400_0.jpg"
2007-09-22,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070922issuecovUS400.jpg"
2007-09-29,"https://www.economist.com/cdn-cgi/image/width=,quality=,format=auto/sites/default/files/20070929issuecovUS400.jpg"
